Orden;Sitios;Municipio;codigo;Fecha;Año;Campaña;Tem_agua;OD;pH;Olores;Color;Espumas;Mat_susp;colif_totales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;Nitrato_mg_l;NH4_mg_l;P_de_ortof_mg_l;P_total_l_mg_l;DQO_mg_l;DBO_mg_l;Turbiedad_NTU;Hidr_Deriv_del_Petroleo_ug_l;Cr_total_mg_l;Cd_total_mg_l;Microcistina_ug_l;Clorofila_a_ug_l;ICA;Calidad_de_agua
2;Río Lujan y Arroyo Caraguatá;Tigre;TI006;16/5/2018;2018;otoño;19;5.57;8.13;no se midió;no se midió;no se midió;no se midió;2200;900;20;5.6;0.66;0.36;0.39;58;6;50;237;<0.006;<0.002;<0.5;<10;52;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;Tigre;TI002;16/5/2018;2018;otoño;18.4;4.53;7.84;no se midió;no se midió;no se midió;no se midió;5000;1300;30;11.1;1.27;0.49;0.49;27;8;39;243;<0.006;<0.002;<0.5;<10;44;Muy deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;Tigre;TI003;16/5/2018;2018;otoño;18.5;6.11;7.91;no se midió;no se midió;no se midió;no se midió;2200;800;20;4.9;0.48;0.41;0.41;34;10;53;200;<0.006;<0.002;<0.5;<10;55;Muy deteriorada
5;Río Reconquista y Río Lujan;Tigre;TI004;16/5/2018;2018;otoño;18.6;4.4;7.75;no se midió;no se midió;no se midió;no se midió;3400;600;15;4.3;1.06;0.49;0.49;46;8;54;195;<0.006;<0.002;<0.5;<10;47;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;Tigre;TI005;16/5/2018;2018;otoño;18.5;4.64;7.93;no se midió;no se midió;no se midió;no se midió;6400;1200;30;7.9;0.79;0.51;0.51;36;13;54;50;<0.006;<0.002;<0.5;<10;44;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;Tigre;TI007;16/5/2018;2018;otoño;19.1;4.77;7.61;no se midió;no se midió;no se midió;no se midió;6200;2500;70;4.4;0.95;0.52;0.52;29;10;41;122;<0.006;<0.002;<0.5;<10;40;Muy deteriorada
8;Río Capitán y Río San Antonio;Tigre;TI008;16/5/2018;2018;otoño;19.9;7.12;7.79;no se midió;no se midió;no se midió;no se midió;200;100;<10;3;<0.05;0.32;0.63;34;2;82;<50;<0.006;<0.002;<0.5;<10;64;Deteriorada
9;Arroyo Abra Vieja y Santa Rosa;Tigre;TI009;16/5/2018;2018;otoño;18.8;7.02;7.7;no se midió;no se midió;no se midió;no se midió;100;100;<10;2.5;0.07;0.33;0.33;24;10;60;<50;<0.006;<0.002;<0.5;<10;75;Muy deteriorada
10;Del Arca;San Fernando;SF015;16/5/2018;2018;otoño;18;5.2;7.23;no se midió;no se midió;no se midió;ausencia;3200;800;25;9.2;0.4;0.58;0.58;22;10;69;58;<0.006;<0.002;<0.5;<10;53;Muy deteriorada
11;Espigón La Farola;San Isidro;SI021;16/5/2018;2018;otoño;18.3;6.9;7.35;no se midió;no se midió;no se midió;ausencia;1400;500;10;5;<0.05;0.27;0.27;34;10;60;93;<0.006;<0.002;<0.5;<10;62;Muy deteriorada
